trial_id,hidden_sizes,activation,dropout_p,lr,batch_size,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_val_acc
22,[406],relu,0.08589657785962326,0.00018868117055242874,256,0.9669353736849297,0.9473492439424304,0.9572387996259457,0.11952383037883961,0.2037534462288022,0.18316229382205917,0.9606485698670068
16,[352],relu,0.12647168049564433,0.000258115388215746,256,0.9616978640069226,0.9502641646930224,0.9572387996259457,0.1310620303644777,0.1920259536438903,0.19384008639937508,0.9602842047731828
13,[501],relu,0.13445865967477,0.00029756644288478015,256,0.9637017807532905,0.93824011659683,0.9531582079401513,0.12439258840357409,0.22564876164028116,0.19648910734964453,0.9584623793040626
23,[347],relu,0.07281111292564584,0.0004728453492173708,256,0.9592840551987977,0.9435234104572782,0.9517129983847658,0.13610324279275224,0.24922001872991406,0.20372597441968063,0.9566405538349426
11,[496],relu,0.178632010250912,0.00010540577830119525,256,0.9637928678781255,0.9531790854436145,0.9540083312080252,0.14332163726997582,0.18727687308781368,0.19951948782672052,0.9559118236472945
10,[476],relu,0.2178832085857047,0.00010976353736645624,256,0.9569157899530901,0.9537256330843505,0.9490776162543569,0.16124262330447173,0.19324783681956834,0.20693429778127567,0.9537256330843505
14,"[507, 47]",relu,0.10330136607176198,0.00038876823435636494,256,0.9388805392357791,0.9468026963016943,0.9517980107115531,0.19944315643028118,0.2065066026610344,0.21613692091373,0.9529969028967025
21,[372],relu,0.17443126946528975,0.0006255951827848216,256,0.9285421505670174,0.8937875751503006,0.9466122587775228,0.23860698245292486,0.5065497294241605,0.24774715454196153,0.9528147203497905
20,"[163, 53]",relu,0.05508676658960264,0.00019637507078860473,256,0.9538188277087034,0.9502641646930224,0.949332653234719,0.15585525709659206,0.18419809110982474,0.20183713408187032,0.9515394425214064
17,"[353, 32]",relu,0.09542211551272321,0.0007107232158222548,256,0.9141959284055199,0.8859537256330844,0.9455070985292867,0.2819350353052277,0.42759802677603653,0.2445772807923672,0.9484423392239023
12,[480],relu,0.20076611200755892,0.0003790778863241375,256,0.9482625130937742,0.9192931317179814,0.9394712233273824,0.17539143563941295,0.2795811645513357,0.23940165383417322,0.9473492439424304
4,"[303, 148]",relu,0.47526708979215765,0.00012303062319563382,128,0.8913330600719588,0.9251229732191656,0.9444869506078382,0.36685595615918554,0.28781378130580104,0.2501763687266604,0.9447986882856623
24,"[402, 33]",relu,0.12825814550853543,0.00016920573457446773,256,0.9317757434986564,0.9267626161413737,0.9411714698631302,0.22675993104010475,0.2750070471056672,0.2285645684308332,0.9407906722535981
15,[87],relu,0.012127243193428172,0.0003036112818851112,256,0.9660245024365806,0.9313171798141738,0.9407464082291932,0.1292329637312092,0.2306975507458975,0.22907717473319042,0.940426307159774
3,[301],sigmoid,0.4095175637849943,0.0011064466601759257,128,0.8849569613335155,0.9262160685006376,0.9265493496557001,0.3732276387715057,0.2909135892120905,0.2884155981971518,0.9322280925487338
19,[370],relu,0.14674027252869995,0.0018820582494146843,256,0.8833173930864873,0.9160138458735653,0.9063164158803027,0.4249427850942972,0.6708243668599184,0.8718469452679806,0.9160138458735653
7,"[91, 254, 151]",relu,0.42476965997720656,0.0009644438198528009,64,0.7805711162727148,0.8826744397886682,0.8816628411119612,0.7381241746073546,0.4717020659252655,0.4881558960870556,0.8826744397886682
0,"[200, 203, 89]",sigmoid,0.13250665871339418,0.0001072743917491728,64,0.7342988568565834,0.7653488795773364,0.7664711383150556,0.8931781134979669,0.8255254688651062,0.8224610631232676,0.7653488795773364
5,"[49, 92, 462]",relu,0.35165938181789214,0.003752591767493787,64,0.5105433346996402,0.62488613590818,0.6507693615574258,1.7398819608050724,1.3064924852792608,1.1997172123064166,0.654399708507925
9,"[238, 467, 137]",relu,0.33169913536310774,0.003659413079527125,128,0.3541011977956916,0.4210238659136455,0.48261497917197993,2.2513825425574945,1.8985264010207599,1.747777494399444,0.48278374931681545
6,"[206, 69, 40]",sigmoid,0.364404409804864,0.0073144343329496755,64,0.330782893837956,0.4037165239570049,0.4285471393352036,2.216837150066398,1.831938901612925,1.7874182702406594,0.4177445800692294
18,"[127, 130, 32, 33]",sigmoid,0.2676747266522125,0.00023350732821488077,256,0.37705515325408756,0.3926033885953726,0.41273484655275017,1.916646302092907,1.8161004241122756,1.7736603656540746,0.405720531973037
1,"[150, 84]",relu,0.03906120812327901,0.014972379024525313,256,0.05501662340028237,0.05337948624521771,0.0692850463317181,3.488512101561524,3.4874183383098867,3.457038927337398,0.0654035343414101
8,"[49, 446, 486]",relu,0.4630132541014872,0.009072250463651347,128,0.05456118777610785,0.05337948624521771,0.05670322196718524,3.4886775418769482,3.487144575562588,3.4999592990978905,0.053926033885953725
2,"[273, 304, 346, 435]",sigmoid,0.25380081881728916,0.0253363642821322,64,0.05255727102973995,0.05337948624521771,0.056618209640397855,3.6197768581468006,3.642725326294123,3.5787437765494636,0.053926033885953725
